booking_id,equipment_id,unit_price
120.00,38.00,163.32
120.00,62.00,1774.91
120.00,66.00,4293.34
123.00,27.00,2267.96
123.00,29.00,3161.06
123.00,43.00,83.52
124.00,18.00,771.68
124.00,20.00,123.64
124.00,24.00,128.32
124.00,36.00,132.30
124.00,39.00,4044.40
124.00,53.00,4245.10
124.00,54.00,204.08
124.00,62.00,3681.37
124.00,63.00,1223.86
125.00,7.00,195.07
125.00,38.00,227.46
125.00,47.00,1050.26
125.00,63.00,516.97
125.00,66.00,3703.15
126.00,22.00,757.88
126.00,33.00,2578.22
126.00,84.00,437.19
130.00,31.00,3127.28
130.00,38.00,188.79
130.00,47.00,365.19
130.00,51.00,2510.73
130.00,62.00,2855.89
132.00,62.00,2317.81
134.00,84.00,1106.27
137.00,61.00,4622.47
138.00,12.00,527.82
138.00,44.00,107.92
140.00,44.00,134.35
144.00,61.00,2565.93
146.00,23.00,501.01
146.00,44.00,88.52
146.00,86.00,138.40
147.00,20.00,160.14
147.00,24.00,52.82
147.00,66.00,2356.89
148.00,52.00,692.89
149.00,20.00,127.01
149.00,47.00,1311.97
149.00,62.00,4134.66
149.00,70.00,275.81
151.00,23.00,697.33
152.00,83.00,524.85
153.00,21.00,228.03
153.00,23.00,930.47
153.00,43.00,228.00
154.00,31.00,2382.18
156.00,84.00,1112.06
159.00,30.00,1150.30
160.00,11.00,4912.41
162.00,88.00,785.84
163.00,7.00,180.14
165.00,12.00,301.01
165.00,43.00,257.47
168.00,6.00,195.68
168.00,20.00,229.59
168.00,24.00,214.79
168.00,53.00,3270.98
169.00,23.00,1223.23
169.00,86.00,166.42
171.00,47.00,485.12
171.00,51.00,4534.95
171.00,54.00,145.50
172.00,47.00,1161.35
173.00,30.00,1190.84
174.00,29.00,3636.70
176.00,11.00,1997.31
178.00,31.00,4442.59
179.00,2.00,79.55
179.00,24.00,66.53
179.00,38.00,156.76
179.00,62.00,4955.16
180.00,18.00,461.13
180.00,39.00,4744.87
