review_id,studio_id,user_id,comment,created_at,studio_rating
30,6,18,После небольшой настройки работать стало удобно,2025-05-20 18:28:15,8
31,5,15,Оборудование в целом в рабочем состоянии,2024-08-31 22:01:12,7
32,6,50,Оборудование в целом в рабочем состоянии,2024-11-22 04:36:43,6
33,7,78,"Хотелось бы чуть лучшее проветривание, но в целом хорошо",2025-11-28 11:45:45,9
34,12,18,,2024-07-20 03:27:58,10
35,7,17,,2024-10-25 16:22:59,9
36,6,44,"Хотелось бы чуть лучшее проветривание, но в целом хорошо",2024-08-20 20:35:15,6
37,7,57,,2024-07-09 14:27:08,9
38,19,8,,2025-05-10 16:16:07,9
39,7,8,,2025-02-21 19:29:41,6
40,16,28,Зал оказался удобным для ансамбля,2024-08-21 21:01:21,7
41,7,23,,2025-02-01 20:47:37,6
42,7,13,Оборудование в целом в рабочем состоянии,2025-01-01 01:09:49,7
43,6,37,Для занятия по вокалу помещение подошло хорошо,2024-03-17 01:03:07,7
44,7,23,"Бронировали для подготовки к концерту, всё прошло удачно",2025-01-27 14:30:37,7
45,7,21,,2024-04-15 02:36:11,9
46,6,44,,2024-08-22 14:21:15,10
47,16,54,"Чисто и комфортно, заниматься было приятно",2025-12-13 06:23:17,8
48,13,28,После небольшой настройки работать стало удобно,2025-09-05 10:03:14,8
49,7,26,,2025-03-21 08:41:14,9
50,14,51,"Бронировали для подготовки к концерту, всё прошло удачно",2024-05-11 01:42:56,8
51,7,17,"Хорошая изоляция, посторонний шум почти не мешал",2024-10-21 16:32:59,5
52,7,21,Оборудование в целом в рабочем состоянии,2024-04-12 14:59:11,8
53,6,46,Хороший класс для индивидуальной работы,2025-05-09 16:08:49,6
54,19,8,"Помещение просторное, звук читается хорошо",2025-05-10 17:10:07,7
55,16,15,"Бронировали для подготовки к концерту, всё прошло удачно",2025-11-10 19:08:36,7
56,7,39,Удобно для занятий с концертмейстером,2025-09-07 08:35:03,9
57,1,35,"Хорошая изоляция, посторонний шум почти не мешал",2024-09-27 05:59:10,8
58,5,15,"Помещение просторное, звук читается хорошо",2024-08-27 08:47:12,8
59,16,9,,2025-08-12 11:32:42,9
60,16,54,"Небольшая аудитория, но для задачи подходит",2025-12-11 11:37:17,7
61,14,51,"Хотелось бы чуть лучшее проветривание, но в целом хорошо",2024-05-13 00:17:56,8
62,7,13,,2024-12-29 18:26:49,7
63,7,21,Удобно для занятий с концертмейстером,2024-04-14 21:56:11,7
64,16,28,,2024-08-22 02:16:21,6
65,7,35,"Хотелось бы чуть лучшее проветривание, но в целом хорошо",2024-11-19 17:27:03,10
66,6,46,После небольшой настройки работать стало удобно,2025-05-10 15:29:49,7
67,7,61,,2024-04-25 20:47:57,7
68,7,17,В студии было комфортно заниматься,2024-10-22 06:57:59,8
69,5,15,,2024-08-28 06:14:12,6
70,13,28,Подходит для спокойной репетиции,2025-09-07 11:35:14,6
71,6,50,"Бронировали для подготовки к концерту, всё прошло удачно",2024-11-18 10:46:43,7
72,13,36,После небольшой настройки работать стало удобно,2024-09-02 12:25:29,8
73,18,3,,2024-05-09 00:06:34,6
74,16,79,Удобно для занятий с концертмейстером,2025-11-22 03:22:34,5
75,7,5,"Бронировали для подготовки к концерту, всё прошло удачно",2024-02-26 20:47:15,7
76,6,37,В студии было комфортно заниматься,2024-03-16 02:17:07,7
77,16,57,Подходит для спокойной репетиции,2025-03-26 00:27:42,8
78,16,15,Подходит для спокойной репетиции,2025-11-11 11:58:36,6
79,7,23,Оборудование в целом в рабочем состоянии,2025-02-01 01:49:37,6
80,6,46,В студии было комфортно заниматься,2025-05-08 00:58:49,7
81,7,57,Для занятия по вокалу помещение подошло хорошо,2024-07-05 19:39:08,6
82,12,11,Подходит для спокойной репетиции,2025-05-05 12:19:45,7
83,16,48,,2025-09-30 11:31:45,9
84,18,3,,2024-05-09 22:36:34,8
85,16,79,,2025-11-18 01:19:34,8
86,7,23,Удобно для занятий с концертмейстером,2025-01-28 10:29:37,7
87,14,47,Оборудование в целом в рабочем состоянии,2024-09-06 17:41:19,10
88,16,65,"Помещение просторное, звук читается хорошо",2025-06-22 08:41:47,7
89,13,28,,2025-09-06 11:07:14,7
90,16,72,Удобно для занятий с концертмейстером,2024-02-06 22:51:17,8
