equipment_id,studio_id,equipment_name,equipment_type,status,description
16,16,Цифровая консоль Behringer X32,Микшерный пульт,maintenance,"Цифровая консоль Behringer X32. Пульт для настройки баланса, маршрутизации сигнала и работы со звуком. Требует настройки или профилактики перед активной эксплуатацией."
17,16,Комбоусилитель Roland,Усилитель,available,Комбоусилитель Roland. Усилитель для инструментальных занятий и репетиций малых составов. Находится в рабочем состоянии и доступно для регулярного использования.
18,7,Сценический монитор,Акустическая система,available,"Сценический монитор. Комплект звукового усиления для репетиций, прослушиваний и небольших выступлений. Находится в рабочем состоянии и доступно для регулярного использования."
19,3,Микрофонная стойка,Стойка,broken,"Микрофонная стойка. Стойка для микрофона, удобна для репетиций и занятий по вокалу. Временно не используется до ремонта или замены неисправных элементов."
20,7,Пюпитр 20,Пюпитр,available,Пюпитр 20. Устойчивый пюпитр для нотных материалов на занятиях и репетициях. Находится в рабочем состоянии и доступно для регулярного использования.
21,16,Кабель XLR,Кабель,booked,"Кабель XLR. Соединительный кабель для подключения микрофонов, пультов и акустики. Сейчас закреплено за бронированиями, но пригодно для планового использования."
22,6,MIDI-клавиатура,MIDI-контроллер,booked,"MIDI-клавиатура. Контроллер для работы с виртуальными инструментами и учебными проектами. Сейчас закреплено за бронированиями, но пригодно для планового использования."
23,16,Гитарный усилитель Marshall 23,Усилитель,booked,"Гитарный усилитель Marshall 23. Усилитель для инструментальных занятий и репетиций малых составов. Сейчас закреплено за бронированиями, но пригодно для планового использования."
24,7,Тюнер 24,Тюнер,available,Тюнер 24. Компактный тюнер для настройки инструментов перед занятием или репетицией. Находится в рабочем состоянии и доступно для регулярного использования.
25,14,Стул музыканта,Мебель,available,Стул музыканта. Стул музыканта для комфортной посадки во время занятий и репетиций. Находится в рабочем состоянии и доступно для регулярного использования.
26,11,Микрофонная стойка 26,Стойка,available,"Микрофонная стойка 26. Стойка для микрофона, удобна для репетиций и занятий по вокалу. Находится в рабочем состоянии и доступно для регулярного использования."
27,16,Ударная установка Tama 27,Ударная установка,available,Ударная установка Tama 27. Комплект ударных инструментов для занятий и ансамблевых репетиций. Находится в рабочем состоянии и доступно для регулярного использования.
28,4,Комбоусилитель Roland 28,Усилитель,maintenance,Комбоусилитель Roland 28. Усилитель для инструментальных занятий и репетиций малых составов. Требует настройки или профилактики перед активной эксплуатацией.
29,16,Цифровая консоль Behringer X32 29,Микшерный пульт,available,"Цифровая консоль Behringer X32 29. Пульт для настройки баланса, маршрутизации сигнала и работы со звуком. Находится в рабочем состоянии и доступно для регулярного использования."
30,7,MIDI-клавиатура 30,MIDI-контроллер,booked,"MIDI-клавиатура 30. Контроллер для работы с виртуальными инструментами и учебными проектами. Сейчас закреплено за бронированиями, но пригодно для планового использования."
31,7,Акустическое пианино Petrof 31,Пианино,booked,"Акустическое пианино Petrof 31. Инструмент подходит для индивидуальных занятий, аккомпанемента и камерных репетиций. Сейчас закреплено за бронированиями, но пригодно для планового использования."
32,3,Поп-фильтр,Аксессуар,booked,"Поп-фильтр. Вспомогательный аксессуар для занятий, записи и репетиционной работы. Сейчас закреплено за бронированиями, но пригодно для планового использования."
33,6,Цифровая консоль Behringer X32 33,Микшерный пульт,available,"Цифровая консоль Behringer X32 33. Пульт для настройки баланса, маршрутизации сигнала и работы со звуком. Находится в рабочем состоянии и доступно для регулярного использования."
34,3,MIDI-клавиатура 34,MIDI-контроллер,available,MIDI-клавиатура 34. Контроллер для работы с виртуальными инструментами и учебными проектами. Находится в рабочем состоянии и доступно для регулярного использования.
35,18,Наушники мониторные,Наушники,maintenance,Наушники мониторные. Закрытые наушники для мониторинга записи и индивидуальной работы со звуком. Требует настройки или профилактики перед активной эксплуатацией.
36,7,Микрофонная стойка 36,Стойка,available,"Микрофонная стойка 36. Стойка для микрофона, удобна для репетиций и занятий по вокалу. Находится в рабочем состоянии и доступно для регулярного использования."
37,20,Кабель XLR 37,Кабель,broken,"Кабель XLR 37. Соединительный кабель для подключения микрофонов, пультов и акустики. Временно не используется до ремонта или замены неисправных элементов."
38,7,Микрофонная стойка 38,Стойка,available,"Микрофонная стойка 38. Стойка для микрофона, удобна для репетиций и занятий по вокалу. Находится в рабочем состоянии и доступно для регулярного использования."
39,7,Профессиональная акустическая система 39,Акустическая система,available,"Профессиональная акустическая система 39. Комплект звукового усиления для репетиций, прослушиваний и небольших выступлений. Находится в рабочем состоянии и доступно для регулярного использования."
40,16,Кабель XLR 40,Кабель,maintenance,"Кабель XLR 40. Соединительный кабель для подключения микрофонов, пультов и акустики. Требует настройки или профилактики перед активной эксплуатацией."
41,6,Педаль сустейна 41,Педаль,broken,"Педаль сустейна 41. Педаль для клавишных инструментов, используется при индивидуальных занятиях. Временно не используется до ремонта или замены неисправных элементов."
42,7,Микрофонная стойка 42,Стойка,booked,"Микрофонная стойка 42. Стойка для микрофона, удобна для репетиций и занятий по вокалу. Сейчас закреплено за бронированиями, но пригодно для планового использования."
43,16,Метроном цифровой 43,Метроном,available,Метроном цифровой 43. Цифровой метроном для отработки темпа и ритмической устойчивости. Находится в рабочем состоянии и доступно для регулярного использования.
44,16,Метроном цифровой 44,Метроном,available,Метроном цифровой 44. Цифровой метроном для отработки темпа и ритмической устойчивости. Находится в рабочем состоянии и доступно для регулярного использования.
45,7,Конденсаторный микрофон Audio-Technica 45,Микрофон,maintenance,"Конденсаторный микрофон Audio-Technica 45. Микрофон для вокала, записи учебных демо и работы с речевым материалом. Требует настройки или профилактики перед активной эксплуатацией."
46,6,Студийный комплект записи,Студийный комплект,broken,Студийный комплект записи. Оборудование используется для учебных занятий и репетиционной работы. Временно не используется до ремонта или замены неисправных элементов.
47,7,Гитарный усилитель Marshall 47,Усилитель,available,Гитарный усилитель Marshall 47. Усилитель для инструментальных занятий и репетиций малых составов. Находится в рабочем состоянии и доступно для регулярного использования.
48,16,Комбоусилитель Roland 48,Усилитель,broken,Комбоусилитель Roland 48. Усилитель для инструментальных занятий и репетиций малых составов. Временно не используется до ремонта или замены неисправных элементов.
49,16,Комбоусилитель Roland 49,Усилитель,maintenance,Комбоусилитель Roland 49. Усилитель для инструментальных занятий и репетиций малых составов. Требует настройки или профилактики перед активной эксплуатацией.
50,16,Синтезатор Yamaha 50,Синтезатор,available,"Синтезатор Yamaha 50. Клавишный инструмент для занятий, аранжировок и работы с электронным звучанием. Находится в рабочем состоянии и доступно для регулярного использования."
51,7,Цифровая консоль Behringer X32 51,Микшерный пульт,booked,"Цифровая консоль Behringer X32 51. Пульт для настройки баланса, маршрутизации сигнала и работы со звуком. Сейчас закреплено за бронированиями, но пригодно для планового использования."
52,19,Синтезатор Yamaha 52,Синтезатор,available,"Синтезатор Yamaha 52. Клавишный инструмент для занятий, аранжировок и работы с электронным звучанием. Находится в рабочем состоянии и доступно для регулярного использования."
53,7,Сценическое освещение комплект,Световое оборудование,booked,"Сценическое освещение комплект. Оборудование используется для учебных занятий и репетиционной работы. Сейчас закреплено за бронированиями, но пригодно для планового использования."
54,7,Метроном цифровой 54,Метроном,available,Метроном цифровой 54. Цифровой метроном для отработки темпа и ритмической устойчивости. Находится в рабочем состоянии и доступно для регулярного использования.
55,17,Стул музыканта 55,Мебель,available,Стул музыканта 55. Стул музыканта для комфортной посадки во время занятий и репетиций. Находится в рабочем состоянии и доступно для регулярного использования.
56,7,Наушники мониторные 56,Наушники,broken,Наушники мониторные 56. Закрытые наушники для мониторинга записи и индивидуальной работы со звуком. Временно не используется до ремонта или замены неисправных элементов.
57,16,Рояль Yamaha C3,Пианино,maintenance,"Рояль Yamaha C3. Инструмент подходит для индивидуальных занятий, аккомпанемента и камерных репетиций. Требует настройки или профилактики перед активной эксплуатацией."
58,15,Наушники мониторные 58,Наушники,broken,Наушники мониторные 58. Закрытые наушники для мониторинга записи и индивидуальной работы со звуком. Временно не используется до ремонта или замены неисправных элементов.
59,5,Синтезатор Yamaha 59,Синтезатор,available,"Синтезатор Yamaha 59. Клавишный инструмент для занятий, аранжировок и работы с электронным звучанием. Находится в рабочем состоянии и доступно для регулярного использования."
60,9,Сценический монитор 60,Акустическая система,available,"Сценический монитор 60. Комплект звукового усиления для репетиций, прослушиваний и небольших выступлений. Находится в рабочем состоянии и доступно для регулярного использования."
61,16,Сценическое освещение комплект 61,Световое оборудование,available,Сценическое освещение комплект 61. Оборудование используется для учебных занятий и репетиционной работы. Находится в рабочем состоянии и доступно для регулярного использования.
62,7,Профессиональная акустическая система 62,Акустическая система,available,"Профессиональная акустическая система 62. Комплект звукового усиления для репетиций, прослушиваний и небольших выступлений. Находится в рабочем состоянии и доступно для регулярного использования."
63,7,Динамический микрофон Shure,Микрофон,available,"Динамический микрофон Shure. Микрофон для вокала, записи учебных демо и работы с речевым материалом. Находится в рабочем состоянии и доступно для регулярного использования."
64,5,Микшерный пульт Allen & Heath,Микшерный пульт,maintenance,"Микшерный пульт Allen & Heath. Пульт для настройки баланса, маршрутизации сигнала и работы со звуком. Требует настройки или профилактики перед активной эксплуатацией."
65,12,Студийный комплект записи 65,Студийный комплект,available,Студийный комплект записи 65. Оборудование используется для учебных занятий и репетиционной работы. Находится в рабочем состоянии и доступно для регулярного использования.
66,7,Студийный комплект записи 66,Студийный комплект,available,Студийный комплект записи 66. Оборудование используется для учебных занятий и репетиционной работы. Находится в рабочем состоянии и доступно для регулярного использования.
67,9,Ударная установка Tama 67,Ударная установка,available,Ударная установка Tama 67. Комплект ударных инструментов для занятий и ансамблевых репетиций. Находится в рабочем состоянии и доступно для регулярного использования.
68,7,Профессиональная акустическая система 68,Акустическая система,broken,"Профессиональная акустическая система 68. Комплект звукового усиления для репетиций, прослушиваний и небольших выступлений. Временно не используется до ремонта или замены неисправных элементов."
69,13,Гитарный усилитель Marshall 69,Усилитель,maintenance,Гитарный усилитель Marshall 69. Усилитель для инструментальных занятий и репетиций малых составов. Требует настройки или профилактики перед активной эксплуатацией.
70,7,Кабель XLR 70,Кабель,available,"Кабель XLR 70. Соединительный кабель для подключения микрофонов, пультов и акустики. Находится в рабочем состоянии и доступно для регулярного использования."
71,3,Радиосистема для вокала 71,Радиосистема,booked,"Радиосистема для вокала 71. Беспроводная система для вокала и сценических выступлений в учебных помещениях. Сейчас закреплено за бронированиями, но пригодно для планового использования."
72,16,Конденсаторный микрофон Audio-Technica 72,Микрофон,maintenance,"Конденсаторный микрофон Audio-Technica 72. Микрофон для вокала, записи учебных демо и работы с речевым материалом. Требует настройки или профилактики перед активной эксплуатацией."
73,7,Конденсаторный микрофон Audio-Technica 73,Микрофон,booked,"Конденсаторный микрофон Audio-Technica 73. Микрофон для вокала, записи учебных демо и работы с речевым материалом. Сейчас закреплено за бронированиями, но пригодно для планового использования."
74,20,Поп-фильтр 74,Аксессуар,available,"Поп-фильтр 74. Вспомогательный аксессуар для занятий, записи и репетиционной работы. Находится в рабочем состоянии и доступно для регулярного использования."
75,7,Цифровое пианино Casio 75,Пианино,maintenance,"Цифровое пианино Casio 75. Инструмент подходит для индивидуальных занятий, аккомпанемента и камерных репетиций. Требует настройки или профилактики перед активной эксплуатацией."
76,19,Педаль сустейна 76,Педаль,broken,"Педаль сустейна 76. Педаль для клавишных инструментов, используется при индивидуальных занятиях. Временно не используется до ремонта или замены неисправных элементов."
77,18,Гитарный усилитель Marshall 77,Усилитель,available,Гитарный усилитель Marshall 77. Усилитель для инструментальных занятий и репетиций малых составов. Находится в рабочем состоянии и доступно для регулярного использования.
78,5,Профессиональная акустическая система 78,Акустическая система,booked,"Профессиональная акустическая система 78. Комплект звукового усиления для репетиций, прослушиваний и небольших выступлений. Сейчас закреплено за бронированиями, но пригодно для планового использования."
79,11,Тюнер 79,Тюнер,maintenance,Тюнер 79. Компактный тюнер для настройки инструментов перед занятием или репетицией. Требует настройки или профилактики перед активной эксплуатацией.
80,7,Микрофонная стойка 80,Стойка,broken,"Микрофонная стойка 80. Стойка для микрофона, удобна для репетиций и занятий по вокалу. Временно не используется до ремонта или замены неисправных элементов."
81,16,Синтезатор Yamaha 81,Синтезатор,available,"Синтезатор Yamaha 81. Клавишный инструмент для занятий, аранжировок и работы с электронным звучанием. Находится в рабочем состоянии и доступно для регулярного использования."
82,13,Метроном цифровой 82,Метроном,broken,Метроном цифровой 82. Цифровой метроном для отработки темпа и ритмической устойчивости. Временно не используется до ремонта или замены неисправных элементов.
83,18,Конденсаторный микрофон Audio-Technica 83,Микрофон,available,"Конденсаторный микрофон Audio-Technica 83. Микрофон для вокала, записи учебных демо и работы с речевым материалом. Находится в рабочем состоянии и доступно для регулярного использования."
84,6,MIDI-клавиатура 84,MIDI-контроллер,booked,"MIDI-клавиатура 84. Контроллер для работы с виртуальными инструментами и учебными проектами. Сейчас закреплено за бронированиями, но пригодно для планового использования."
85,9,Педаль сустейна 85,Педаль,broken,"Педаль сустейна 85. Педаль для клавишных инструментов, используется при индивидуальных занятиях. Временно не используется до ремонта или замены неисправных элементов."
86,16,Стул музыканта 86,Мебель,available,Стул музыканта 86. Стул музыканта для комфортной посадки во время занятий и репетиций. Находится в рабочем состоянии и доступно для регулярного использования.
87,2,Метроном цифровой 87,Метроном,booked,"Метроном цифровой 87. Цифровой метроном для отработки темпа и ритмической устойчивости. Сейчас закреплено за бронированиями, но пригодно для планового использования."
88,5,Синтезатор Yamaha 88,Синтезатор,available,"Синтезатор Yamaha 88. Клавишный инструмент для занятий, аранжировок и работы с электронным звучанием. Находится в рабочем состоянии и доступно для регулярного использования."
89,16,Стул музыканта 89,Мебель,broken,Стул музыканта 89. Стул музыканта для комфортной посадки во время занятий и репетиций. Временно не используется до ремонта или замены неисправных элементов.
90,7,Радиосистема для вокала 90,Радиосистема,maintenance,Радиосистема для вокала 90. Беспроводная система для вокала и сценических выступлений в учебных помещениях. Требует настройки или профилактики перед активной эксплуатацией.
