maintenance_id,responsible_user_id,equipment_id,maintenance_date,maintenance_type,maintenance_cost,description
32,33,10,2024-07-18,Восстановление контактов,13559.70,"Заменены изношенные элементы, работоспособность восстановлена"
33,69,10,2023-06-23,Проверка акустики,15008.23,
34,48,15,2025-03-26,Замена кабеля,10533.28,Выполнена чистка и базовая настройка оборудования
35,55,19,2024-05-26,Проверка акустики,15060.04,Проведена профилактика перед учебным семестром
36,47,19,2023-12-05,Чистка,3208.10,Выполнена регулировка и тестирование после жалобы пользователей
37,12,37,2025-07-04,Плановое обслуживание,10418.74,Выполнена чистка и базовая настройка оборудования
38,47,41,2025-01-07,Восстановление контактов,5831.32,"Заменены изношенные элементы, работоспособность восстановлена"
39,73,46,2024-04-23,Плановое обслуживание,13333.47,
40,47,48,2025-12-08,Восстановление контактов,5705.91,Выполнена регулировка и тестирование после жалобы пользователей
41,69,56,2025-11-30,Настройка,11256.32,Оборудование подготовлено к дальнейшей эксплуатации
42,19,56,2023-01-13,Калибровка,18637.14,
43,69,58,2024-04-07,Диагностика,17357.03,Оборудование подготовлено к дальнейшей эксплуатации
44,33,68,2023-02-22,Замена кабеля,17489.16,Оборудование подготовлено к дальнейшей эксплуатации
45,65,68,2024-10-03,Мелкий ремонт,14686.86,
46,33,76,2025-12-21,Замена кабеля,10719.09,Проверены подключения и обновлены расходные материалы
47,63,76,2025-12-15,Плановое обслуживание,15525.14,"Заменены изношенные элементы, работоспособность восстановлена"
48,19,80,2023-01-05,Калибровка,4961.42,Выполнена чистка и базовая настройка оборудования
49,69,80,2023-09-03,Диагностика,10907.68,
50,12,82,2025-07-11,Восстановление контактов,8913.94,
51,56,82,2025-01-13,Чистка,6100.78,Проверены подключения и обновлены расходные материалы
52,56,85,2023-05-12,Калибровка,8110.87,Проведены работы по устранению посторонних шумов и дребезга
53,45,85,2023-12-15,Плановое обслуживание,19024.45,
54,68,89,2023-05-19,Регулировка механики,4927.40,"Заменены изношенные элементы, работоспособность восстановлена"
55,47,89,2024-09-14,Проверка акустики,9263.38,Выполнена чистка и базовая настройка оборудования
56,43,31,2025-05-31,Настройка,366.56,Оборудование подготовлено к дальнейшей эксплуатации
57,73,77,2023-07-04,Диагностика,8620.05,Выполнена регулировка и тестирование после жалобы пользователей
58,73,25,2024-08-16,Чистка,5289.44,Проведена профилактика перед учебным семестром
59,33,77,2025-11-17,Диагностика,5136.31,"Заменены изношенные элементы, работоспособность восстановлена"
60,43,2,2024-02-11,Диагностика,7488.63,
61,48,31,2025-11-28,Восстановление контактов,5606.34,"Заменены изношенные элементы, работоспособность восстановлена"
62,56,83,2025-12-12,Калибровка,8304.86,
63,47,65,2025-07-16,Замена кабеля,1062.06,"Проведена диагностика, выполнена проверка работоспособности узлов"
64,69,29,2025-01-01,Мелкий ремонт,11961.53,
65,43,74,2023-01-09,Замена кабеля,6153.60,Проведены работы по устранению посторонних шумов и дребезга
66,73,61,2023-07-25,Замена расходников,685.27,"Заменены изношенные элементы, работоспособность восстановлена"
67,73,44,2024-06-10,Регулировка механики,1756.65,Проведены работы по устранению посторонних шумов и дребезга
68,19,12,2023-07-01,Мелкий ремонт,721.11,Выполнена регулировка и тестирование после жалобы пользователей
69,69,67,2024-10-30,Замена кабеля,10852.95,Выполнена регулировка и тестирование после жалобы пользователей
70,55,47,2024-11-07,Чистка,3923.41,
71,24,70,2025-05-13,Восстановление контактов,7712.50,Проведена профилактика перед учебным семестром
72,47,12,2023-12-24,Чистка,623.17,Оборудование подготовлено к дальнейшей эксплуатации
73,69,36,2025-02-07,Плановое обслуживание,5409.93,
74,69,51,2024-12-12,Регулировка механики,1527.39,
75,73,12,2024-06-27,Настройка,2604.06,"Заменены изношенные элементы, работоспособность восстановлена"
76,6,67,2024-02-28,Проверка акустики,10712.56,"Проведена диагностика, выполнена проверка работоспособности узлов"
77,45,47,2023-10-08,Калибровка,11060.88,Оборудование подготовлено к дальнейшей эксплуатации
78,65,62,2024-05-25,Плановое обслуживание,3554.52,
79,21,9,2024-08-03,Проверка акустики,11163.95,Проверены подключения и обновлены расходные материалы
80,24,12,2023-05-06,Регулировка механики,10002.25,Оборудование подготовлено к дальнейшей эксплуатации
