booking_id,user_id,studio_id,start_time,end_time,purpose,status,total_cost,created_at
47,17,7,2024-04-30 19:40:19,2024-04-30 22:40:19,Занятие по вокалу,cancelled,18558.16,2024-04-23 07:52:19
48,4,14,2025-04-22 22:59:57,2025-04-22 23:59:57,Занятие по вокалу,confirmed,2286.24,2025-04-14 19:55:57
49,47,7,2025-06-06 07:25:42,2025-06-06 13:25:42,Подготовка к экзамену,cancelled,38762.35,2025-05-09 07:10:42
50,5,7,2025-02-23 13:51:07,2025-02-23 15:51:07,Подготовка ансамбля,created,14359.30,2025-01-29 01:48:07
51,39,7,2025-09-25 23:21:28,2025-09-26 05:21:28,Аранжировка материала,confirmed,38585.60,2025-09-06 17:45:28
52,64,16,2024-07-03 08:12:40,2024-07-03 11:12:40,Сольная репетиция,created,15113.20,2024-06-04 05:30:40
53,17,7,2024-02-17 16:19:57,2024-02-17 21:19:57,Подготовка ансамбля,confirmed,33380.89,2024-01-29 04:21:57
54,50,7,2025-01-20 07:02:28,2025-01-20 08:02:28,Прослушивание,cancelled,9951.04,2025-01-07 20:20:28
55,65,7,2024-11-19 16:51:13,2024-11-19 20:51:13,Подготовка ансамбля,cancelled,30363.06,2024-11-14 12:27:13
56,62,7,2025-10-22 00:51:45,2025-10-22 02:51:45,Репетиция малого состава,created,12769.76,2025-10-11 13:42:45
57,36,4,2024-11-16 20:51:57,2024-11-17 00:51:57,Прослушивание,confirmed,5402.08,2024-10-29 12:43:57
58,18,6,2025-05-17 15:28:15,2025-05-17 16:28:15,Работа с концертмейстером,completed,4759.49,2025-04-18 07:34:15
59,8,16,2024-05-28 06:50:05,2024-05-28 07:50:05,Аранжировка материала,completed,3722.56,2024-05-19 00:07:05
60,48,16,2024-05-26 11:37:04,2024-05-26 16:37:04,Запись демо,cancelled,16760.20,2024-05-02 01:02:04
61,37,16,2024-09-15 22:54:16,2024-09-16 01:54:16,Запись демо,confirmed,10948.61,2024-08-16 23:00:16
62,78,6,2025-08-09 05:44:39,2025-08-09 09:44:39,Аранжировка материала,created,19037.96,2025-07-10 06:00:39
63,57,7,2024-07-05 05:27:08,2024-07-05 10:27:08,Прослушивание,completed,31113.22,2024-06-23 17:09:08
64,36,13,2024-08-27 21:24:29,2024-08-28 00:24:29,Подготовка к концерту,completed,6762.09,2024-08-15 12:28:29
65,36,16,2025-07-15 10:45:54,2025-07-15 14:45:54,Запись демо,created,16996.09,2025-06-20 04:47:54
66,26,7,2025-03-13 06:13:15,2025-03-13 08:13:15,Репетиция хора,confirmed,13583.34,2025-02-17 04:12:15
67,44,7,2025-07-13 13:59:43,2025-07-13 17:59:43,Работа с концертмейстером,confirmed,25323.52,2025-07-03 11:47:43
68,17,7,2024-07-10 04:44:22,2024-07-10 08:44:22,Работа с концертмейстером,confirmed,33174.17,2024-06-21 18:01:22
69,18,16,2025-07-16 08:05:51,2025-07-16 14:05:51,Подготовка ансамбля,created,19618.14,2025-06-22 00:36:51
70,61,7,2024-04-19 01:00:57,2024-04-19 07:00:57,Сольная репетиция,completed,37184.54,2024-03-31 17:49:57
71,79,19,2025-02-11 07:01:54,2025-02-11 08:01:54,Запись учебного проекта,cancelled,1378.99,2025-01-15 05:09:54
72,5,1,2024-04-17 03:01:40,2024-04-17 09:01:40,Подготовка ансамбля,created,15896.40,2024-04-09 01:16:40
73,2,7,2024-10-17 04:57:54,2024-10-17 05:57:54,Аранжировка материала,created,6711.17,2024-09-26 18:15:54
74,73,14,2024-01-13 13:15:41,2024-01-13 14:15:41,Индивидуальная репетиция,cancelled,2286.24,2023-12-26 04:49:41
75,3,16,2025-02-20 10:52:55,2025-02-20 13:52:55,Подготовка к экзамену,confirmed,13627.66,2025-02-19 02:00:55
76,54,16,2025-12-07 23:24:17,2025-12-08 01:24:17,Подготовка ансамбля,completed,11230.74,2025-12-03 21:51:17
77,18,12,2024-07-15 09:24:58,2024-07-15 12:24:58,Занятие по вокалу,completed,11183.01,2024-07-05 20:59:58
78,26,7,2025-03-15 04:24:14,2025-03-15 06:24:14,Запись учебного проекта,completed,21241.54,2025-02-20 01:05:14
79,69,5,2025-10-28 22:21:52,2025-10-29 04:21:52,Прослушивание,created,12318.37,2025-10-03 22:16:52
80,28,7,2024-02-13 22:03:29,2024-02-14 04:03:29,Занятие по вокалу,confirmed,41401.01,2024-02-12 10:53:29
81,39,7,2025-09-01 13:50:03,2025-09-01 16:50:03,Сольная репетиция,completed,20984.27,2025-08-13 11:53:03
82,73,6,2025-12-01 08:56:44,2025-12-01 14:56:44,Репетиция хора,confirmed,28556.94,2025-11-01 23:26:44
83,5,5,2025-12-20 06:09:05,2025-12-20 09:09:05,Запись учебного проекта,cancelled,5397.39,2025-11-20 21:33:05
84,4,18,2024-09-01 14:25:10,2024-09-01 15:25:10,Репетиция малого состава,cancelled,1286.56,2024-08-25 05:16:10
85,68,16,2025-12-22 19:29:02,2025-12-22 20:29:02,Запись демо,confirmed,3269.69,2025-12-12 16:53:02
86,44,16,2025-06-10 04:50:47,2025-06-10 09:50:47,Подготовка к экзамену,cancelled,16348.45,2025-05-29 22:02:47
87,11,19,2025-07-16 19:23:14,2025-07-16 20:23:14,Индивидуальная репетиция,created,1378.99,2025-06-29 08:01:14
88,8,6,2024-02-29 09:04:58,2024-02-29 12:04:58,Аранжировка материала,cancelled,17787.35,2024-02-08 20:25:58
89,30,16,2024-01-24 08:15:44,2024-01-24 14:15:44,Подготовка к концерту,confirmed,19618.14,2024-01-14 19:47:44
90,17,7,2024-10-18 22:27:59,2024-10-19 02:27:59,Запись учебного проекта,completed,27722.06,2024-10-12 11:50:59
91,28,16,2024-08-17 18:16:21,2024-08-17 20:16:21,Репетиция хора,completed,7562.30,2024-07-25 17:11:21
92,13,16,2025-05-07 16:46:08,2025-05-07 18:46:08,Работа с концертмейстером,cancelled,7100.07,2025-04-13 10:26:08
93,9,1,2024-08-27 18:31:18,2024-08-27 22:31:18,Занятие по вокалу,cancelled,8327.04,2024-08-15 06:14:18
94,11,6,2024-12-14 23:03:09,2024-12-15 04:03:09,Занятие по вокалу,confirmed,23797.45,2024-11-26 14:37:09
95,3,7,2024-03-13 14:50:36,2024-03-13 19:50:36,Занятие по специальности,confirmed,31333.14,2024-02-22 02:30:36
96,28,7,2024-10-28 13:06:27,2024-10-28 14:06:27,Запись демо,created,14561.99,2024-10-04 04:09:27
97,45,6,2024-10-23 01:21:33,2024-10-23 03:21:33,Репетиция хора,created,9518.98,2024-10-17 21:02:33
98,39,4,2024-12-03 22:57:10,2024-12-04 01:57:10,Репетиция малого состава,created,4051.56,2024-11-19 18:27:10
99,7,7,2024-07-10 20:46:19,2024-07-11 02:46:19,Аранжировка материала,cancelled,36990.06,2024-06-19 13:08:19
100,15,5,2024-08-24 23:14:12,2024-08-25 00:14:12,Аранжировка материала,completed,2886.71,2024-08-11 17:21:12
101,28,16,2024-12-08 06:21:00,2024-12-08 09:21:00,Подготовка ансамбля,completed,10052.36,2024-11-23 19:43:00
102,23,10,2025-06-24 09:11:16,2025-06-24 11:11:16,Прослушивание,created,2238.50,2025-06-08 04:00:16
103,78,7,2025-06-24 02:57:06,2025-06-24 08:57:06,Запись демо,cancelled,37746.22,2025-06-07 17:07:06
104,24,7,2025-09-02 17:36:50,2025-09-02 21:36:50,Аранжировка материала,cancelled,24660.04,2025-08-21 15:37:50
105,15,20,2024-05-20 02:05:10,2024-05-20 08:05:10,Подготовка к экзамену,created,8000.22,2024-04-24 18:04:10
106,36,16,2024-12-06 21:23:33,2024-12-07 00:23:33,Занятие по специальности,cancelled,15537.34,2024-11-09 10:19:33
107,70,16,2025-06-07 01:12:45,2025-06-07 05:12:45,Запись демо,created,19164.34,2025-06-01 14:53:45
108,18,6,2024-11-24 23:40:36,2024-11-25 03:40:36,Подготовка к концерту,confirmed,19037.96,2024-11-21 16:02:36
109,46,7,2025-12-18 15:12:30,2025-12-18 21:12:30,Репетиция малого состава,confirmed,37304.29,2025-12-04 07:10:30
110,78,15,2025-09-23 06:18:47,2025-09-23 11:18:47,Занятие по вокалу,confirmed,12313.80,2025-09-02 19:20:47
111,9,6,2025-05-31 14:47:31,2025-05-31 17:47:31,Индивидуальная репетиция,cancelled,15207.05,2025-05-25 04:08:31
112,44,13,2025-05-17 16:10:28,2025-05-17 20:10:28,Прослушивание,created,9016.12,2025-04-22 10:20:28
113,9,5,2024-06-21 18:24:00,2024-06-21 23:24:00,Аранжировка материала,confirmed,8995.65,2024-05-28 09:49:00
114,55,6,2024-10-17 22:05:39,2024-10-18 02:05:39,Аранжировка материала,created,20246.45,2024-10-02 09:22:39
115,55,6,2024-01-20 09:52:51,2024-01-20 13:52:51,Занятие по вокалу,cancelled,20487.31,2024-01-16 05:26:51
116,9,18,2024-04-20 09:01:00,2024-04-20 12:01:00,Репетиция малого состава,cancelled,3859.68,2024-04-10 03:32:00
117,16,7,2025-01-05 04:18:46,2025-01-05 05:18:46,Подготовка к концерту,cancelled,8800.69,2024-12-20 16:34:46
118,24,7,2025-09-21 14:57:37,2025-09-21 20:57:37,Работа с концертмейстером,cancelled,47351.78,2025-09-17 14:03:37
119,51,14,2024-05-07 23:46:56,2024-05-08 05:46:56,Сольная репетиция,completed,13717.44,2024-04-29 15:35:56
120,13,7,2024-12-25 05:18:49,2024-12-25 07:18:49,Подготовка ансамбля,completed,18561.59,2024-11-28 22:38:49
121,15,14,2024-11-03 14:11:24,2024-11-03 15:11:24,Запись демо,cancelled,2286.24,2024-10-10 04:15:24
122,35,7,2024-01-04 18:57:17,2024-01-05 00:57:17,Репетиция малого состава,completed,36990.06,2023-12-28 15:40:17
123,57,16,2025-03-24 18:32:42,2025-03-24 19:32:42,Работа с концертмейстером,completed,8782.23,2025-02-26 10:21:42
124,24,7,2024-07-23 02:37:18,2024-07-23 08:37:18,Запись учебного проекта,created,51544.81,2024-06-24 19:04:18
125,23,7,2024-11-01 05:33:02,2024-11-01 10:33:02,Занятие по специальности,confirmed,36517.96,2024-10-28 00:11:02
126,35,6,2025-06-07 12:36:23,2025-06-07 18:36:23,Аранжировка материала,confirmed,32330.23,2025-05-12 07:38:23
127,47,14,2024-08-31 14:12:19,2024-08-31 15:12:19,Подготовка ансамбля,completed,2286.24,2024-08-23 10:05:19
128,26,6,2024-10-29 01:28:48,2024-10-29 05:28:48,Прослушивание,cancelled,19037.96,2024-10-08 22:52:48
129,34,7,2025-02-21 17:28:32,2025-02-21 23:28:32,Подготовка ансамбля,created,36990.06,2025-01-22 18:00:32
130,44,7,2024-04-19 07:19:01,2024-04-19 09:19:01,Индивидуальная репетиция,created,21377.90,2024-04-07 23:40:01
131,71,18,2025-01-11 17:45:54,2025-01-11 19:45:54,Сольная репетиция,created,2573.12,2025-01-04 11:10:54
132,51,7,2025-01-17 06:26:05,2025-01-17 10:26:05,Подготовка ансамбля,cancelled,26977.85,2024-12-24 22:55:05
133,7,3,2025-08-14 11:07:25,2025-08-14 13:07:25,Запись демо,confirmed,2002.18,2025-08-04 10:50:25
134,41,6,2024-12-21 13:05:18,2024-12-21 18:05:18,Подготовка к концерту,cancelled,24903.72,2024-11-27 00:16:18
135,43,6,2024-03-30 00:57:58,2024-03-30 03:57:58,Работа с концертмейстером,confirmed,14278.47,2024-03-04 16:05:58
136,42,16,2025-08-13 15:30:13,2025-08-13 21:30:13,Прослушивание,cancelled,19618.14,2025-07-29 07:17:13
137,9,16,2025-08-06 22:05:42,2025-08-07 00:05:42,Репетиция хора,completed,11161.85,2025-07-27 21:37:42
138,25,16,2024-12-07 08:51:22,2024-12-07 09:51:22,Запись демо,confirmed,3905.43,2024-11-11 20:36:22
139,68,8,2024-09-29 16:13:57,2024-09-29 22:13:57,Подготовка ансамбля,cancelled,11222.76,2024-09-09 05:46:57
140,48,16,2025-09-24 05:17:45,2025-09-24 07:17:45,Работа с концертмейстером,completed,6673.73,2025-08-29 04:41:45
141,41,9,2024-05-11 02:46:53,2024-05-11 05:46:53,Аранжировка материала,cancelled,3150.63,2024-04-17 22:28:53
142,19,16,2025-11-30 12:06:38,2025-11-30 18:06:38,Репетиция малого состава,confirmed,19618.14,2025-11-03 10:58:38
143,65,16,2024-08-03 17:41:07,2024-08-03 23:41:07,Подготовка ансамбля,confirmed,19618.14,2024-07-29 05:46:07
144,18,16,2025-10-05 20:01:12,2025-10-05 22:01:12,Подготовка к концерту,created,9105.31,2025-09-10 09:36:12
145,11,12,2025-05-02 23:16:45,2025-05-03 03:16:45,Запись учебного проекта,completed,14910.68,2025-04-19 16:12:45
146,65,16,2024-11-09 05:40:57,2024-11-09 10:40:57,Работа с концертмейстером,created,17076.38,2024-10-16 00:56:57
147,35,7,2025-03-28 08:26:15,2025-03-28 09:26:15,Подготовка к экзамену,created,8734.86,2025-02-27 19:32:15
148,8,19,2025-05-08 10:17:07,2025-05-08 16:17:07,Занятие по вокалу,completed,8966.83,2025-04-15 04:23:07
149,65,7,2024-11-30 01:07:40,2024-11-30 03:07:40,Занятие по специальности,confirmed,18179.47,2024-11-13 20:47:40
150,21,7,2024-04-11 18:27:11,2024-04-11 23:27:11,Работа с концертмейстером,completed,30825.05,2024-03-14 10:37:11
151,72,16,2024-02-06 00:26:17,2024-02-06 01:26:17,Подготовка к концерту,completed,3967.02,2024-01-15 11:33:17
152,3,18,2024-05-03 01:01:34,2024-05-03 05:01:34,Запись демо,completed,5671.09,2024-04-18 00:34:34
153,79,16,2025-11-16 12:25:34,2025-11-16 18:25:34,Репетиция хора,completed,21004.64,2025-11-06 09:30:34
154,8,7,2024-03-05 08:25:48,2024-03-05 11:25:48,Индивидуальная репетиция,created,20877.21,2024-02-11 22:15:48
155,29,7,2025-06-27 14:31:55,2025-06-27 16:31:55,Подготовка к экзамену,completed,12330.02,2025-06-13 04:26:55
156,8,6,2024-03-01 20:52:59,2024-03-01 22:52:59,Запись учебного проекта,created,10631.04,2024-02-11 17:19:59
157,35,1,2024-09-24 04:41:10,2024-09-24 05:41:10,Подготовка ансамбля,completed,2081.76,2024-08-26 21:57:10
158,37,6,2024-03-10 17:15:07,2024-03-10 23:15:07,Работа с концертмейстером,completed,28556.94,2024-02-13 16:09:07
159,26,7,2024-10-24 14:26:14,2024-10-24 16:26:14,Занятие по вокалу,created,13480.32,2024-10-03 04:17:14
160,41,1,2025-05-20 05:15:18,2025-05-20 07:15:18,Запись демо,confirmed,9075.93,2025-05-04 23:29:18
161,50,6,2024-11-16 02:49:43,2024-11-16 07:49:43,Запись демо,completed,23797.45,2024-10-24 18:54:43
162,8,5,2025-08-07 18:36:12,2025-08-07 19:36:12,Работа с концертмейстером,confirmed,2584.97,2025-07-19 07:12:12
163,78,7,2024-04-18 22:37:25,2024-04-19 00:37:25,Запись демо,confirmed,12510.16,2024-04-09 12:32:25
164,44,9,2025-04-17 06:21:22,2025-04-17 09:21:22,Занятие по специальности,created,3150.63,2025-03-22 19:20:22
165,70,16,2024-06-08 21:47:08,2024-06-09 02:47:08,Подготовка к экзамену,confirmed,16906.93,2024-05-19 13:35:08
166,28,13,2025-09-01 03:07:14,2025-09-01 05:07:14,Запись демо,completed,4508.06,2025-08-15 21:00:14
167,39,8,2025-02-14 15:58:26,2025-02-14 16:58:26,Прослушивание,confirmed,1870.46,2025-02-02 10:50:26
168,70,7,2024-10-11 03:46:55,2024-10-11 08:46:55,Подготовка к концерту,confirmed,34736.09,2024-09-19 00:58:55
169,77,16,2024-01-14 07:06:46,2024-01-14 12:06:46,Запись демо,confirmed,17738.10,2024-01-11 06:50:46
170,5,4,2025-09-05 09:25:55,2025-09-05 13:25:55,Подготовка к экзамену,created,5402.08,2025-08-19 04:45:55
171,39,7,2025-06-29 10:41:54,2025-06-29 14:41:54,Сольная репетиция,created,29825.61,2025-06-26 00:07:54
172,48,7,2024-08-29 01:04:59,2024-08-29 02:04:59,Подготовка ансамбля,confirmed,7326.36,2024-08-11 21:13:59
173,41,7,2025-05-08 00:06:06,2025-05-08 06:06:06,Репетиция хора,created,38180.90,2025-04-15 14:02:06
174,57,16,2025-10-19 19:18:33,2025-10-19 21:18:33,Прослушивание,cancelled,10176.08,2025-10-17 16:13:33
175,9,10,2024-02-13 01:48:28,2024-02-13 04:48:28,Подготовка к экзамену,created,3357.75,2024-01-21 14:06:28
176,14,1,2024-04-17 10:15:47,2024-04-17 16:15:47,Работа с концертмейстером,created,14487.87,2024-04-15 19:17:47
177,40,16,2025-07-14 04:02:35,2025-07-14 07:02:35,Подготовка к экзамену,cancelled,9809.07,2025-07-07 22:54:35
178,64,7,2025-11-19 19:58:07,2025-11-19 20:58:07,Репетиция малого состава,cancelled,10607.60,2025-10-25 19:37:07
179,34,7,2024-07-23 13:44:12,2024-07-23 19:44:12,Подготовка к концерту,created,42248.06,2024-07-04 03:40:12
180,35,7,2025-01-23 09:24:19,2025-01-23 14:24:19,Репетиция хора,confirmed,36031.05,2025-01-17 04:14:19
