booking_id,amount,payment_date,payment_method,status
92,7100.07,2025-05-06 08:47:08,cash,refunded
93,8327.04,2024-08-28 02:35:18,transfer,refunded
94,23797.45,2024-12-12 18:36:09,cash,paid
95,31397.80,2024-02-23 09:14:36,transfer,failed
96,14661.56,2024-10-05 03:45:27,cash,pending
99,36990.06,2024-07-10 08:23:19,card,refunded
100,2886.71,2024-08-21 21:52:12,cash,paid
101,10052.36,2024-12-06 00:23:00,cash,paid
103,37755.85,2025-06-08 11:40:06,transfer,failed
104,24660.04,2025-09-04 02:48:50,card,refunded
105,8054.20,2024-04-24 21:42:10,transfer,pending
106,15537.34,2024-11-10 20:39:33,card,failed
108,19246.40,2024-11-22 11:19:36,cash,paid
109,37304.29,2025-12-05 05:33:30,cash,pending
110,12313.80,2025-09-03 18:12:47,cash,failed
111,15207.05,2025-05-25 12:41:31,card,failed
113,8995.65,2024-05-29 17:15:00,card,failed
114,20246.45,2024-10-02 14:28:39,transfer,pending
115,20487.31,2024-01-19 01:45:51,card,refunded
116,3859.68,2024-04-19 19:55:00,transfer,refunded
117,8800.69,2025-01-03 12:44:46,card,refunded
118,47351.78,2025-09-21 23:49:37,card,refunded
119,13717.44,2024-05-05 21:02:56,cash,paid
120,18561.59,2024-11-30 13:11:49,transfer,paid
121,2286.24,2024-11-03 02:56:24,transfer,refunded
122,36990.06,2023-12-28 22:54:17,transfer,paid
123,8782.23,2025-02-28 06:35:42,card,paid
125,36517.96,2024-10-28 06:19:02,cash,pending
126,32442.18,2025-05-12 14:42:23,transfer,paid
127,2286.24,2024-08-29 14:00:19,transfer,paid
128,19037.96,2024-10-28 11:05:48,transfer,refunded
130,21377.90,2024-04-08 03:38:01,cash,pending
132,26977.85,2024-12-25 03:14:05,card,failed
133,2002.18,2025-08-04 18:48:25,cash,paid
134,24903.72,2024-11-27 12:27:18,card,failed
135,14278.47,2024-03-04 16:10:58,card,pending
136,19618.14,2025-07-30 00:54:13,transfer,failed
137,11161.85,2025-08-03 16:26:42,card,paid
138,3905.43,2024-11-13 08:40:22,card,failed
139,11222.76,2024-09-27 17:46:57,cash,refunded
140,6673.73,2025-09-22 03:20:45,card,paid
141,3150.63,2024-04-17 23:14:53,transfer,failed
142,19618.14,2025-11-27 06:36:38,transfer,paid
143,19618.14,2024-08-01 12:35:07,cash,paid
145,14910.68,2025-04-30 20:03:45,cash,paid
146,17076.38,2024-10-16 14:03:57,card,pending
148,9052.26,2025-05-05 08:46:07,card,paid
149,18358.61,2024-11-29 00:47:40,card,paid
150,30825.05,2024-04-09 13:40:11,transfer,paid
151,3967.02,2024-01-16 15:47:17,cash,paid
152,5671.09,2024-04-30 23:07:34,card,paid
153,21004.64,2025-11-07 16:13:34,card,paid
155,12330.02,2025-06-24 10:48:55,card,paid
157,2081.76,2024-09-20 23:36:10,cash,paid
158,28556.94,2024-03-07 13:09:07,card,paid
161,24021.63,2024-11-14 01:28:43,transfer,paid
162,2584.97,2025-07-19 19:19:12,card,pending
165,16906.93,2024-06-06 18:59:08,cash,paid
166,4657.72,2025-08-28 23:45:14,card,paid
167,1870.46,2025-02-03 06:15:26,transfer,pending
168,34789.67,2024-09-19 10:47:55,cash,failed
169,17738.10,2024-01-11 14:06:46,card,failed
170,5402.08,2025-08-19 12:25:55,transfer,pending
171,29842.74,2025-06-26 23:10:54,card,pending
172,7455.91,2024-08-11 21:24:59,card,pending
174,10176.08,2025-10-18 16:27:33,card,refunded
177,9809.07,2025-07-08 05:42:35,transfer,failed
178,10607.60,2025-10-27 05:26:07,card,failed
180,36031.05,2025-01-21 03:53:19,card,paid
